condition,drugName
"Conjunctivitis, Bacterial",Gramicidin / neomycin / polymyxin b
"Conjunctivitis, Allergic",Optivar
Postmenopausal Symptoms,Estraderm
Topical Disinfection,Betadine Aerosol Spray
Eye Redness,Oasis Tears
Psoriasis,Scytera
Rheumatoid Arthritis,Prednicot
Urinary Tract Infection,Augmentin ES-600
Acne,Pernox
,Nystop
Urinary Tract Infection,Noroxin
Cluster Headaches,Isoptin SR
GERD,Axid
Nasal Congestion,Todays Health Nasal  Relief Extra Moisturizing
Pain,Palladone
"Hypogonadism, Male",Methitest
Epilepsy,Peganone
Ear Wax Impaction,Acetic acid / antipyrine / benzocaine / polycosanol
Pinworm Infection (Enterobius vermicularis),Pin-X
Glaucoma/Intraocular Hypertension,Zioptan
Abortion,Mifepristone
Oral Thrush,Gentian violet
Peripheral T-cell Lymphoma,Istodax
"Parkinson's Disease",Stalevo 150
High Blood Pressure,Hydralazine / hydrochlorothiazide / reserpine
Not Listed / Othe,Dimethyl sulfoxide
Eye Redness,TheraTears
Seizures,Oxtellar XR
Diaper Rash,Triple Paste
Skin and Structure Infection,Daptomycin
Asthma,Azmacort
Pruritus,Prax
Gas,Devrom
Skin Rash,Psorcon
Cough,Robitussin Cough + Chest Congestion DM
"Nausea/Vomiting, Postoperative",Palonosetron
Diabetic Peripheral Neuropathy,Zostrix Diabetic Foot Pain
Emergency Contraception,Fallback Solo
COPD,Striverdi Respimat
High Blood Pressure,Fosinopril
Atopic Dermatitis,Capex
Allergic Rhinitis,Deconamine
Nasal Congestion,Loratadine-D 24 Hour
High Blood Pressure,Eplerenone
"Asthma, acute",Pirbuterol
Mania,Depakote Sprinkles
Eye Redness,Refresh PM
Dietary Supplementation,Cholecalciferol / folic acid
Birth Control,Larissia
Hypoglycemia,Insta-Glucose
"Hyperlipoproteinemia Type IIa, Elevated LDL",Prevalite
Anemia,Integra
Bipolar Disorde,Eskalith-CR
Tinea Pedis,Clioquinol
Allergic Rhinitis,Clarinex-D 12 Hour
Gout,Zyloprim
GERD,Prevacid OTC
Diagnosis and Investigation,Provocholine
Bowel Preparation,Colyte
Bronchospasm Prophylaxis,Vospire ER
Cough,Virtussin A / C
Hypercalcemia of Malignancy,Xgeva
CNS Magnetic Resonance Imaging,Magnevist
"Conjunctivitis, Bacterial",Maxitrol
Eczema,Cortizone-10
"Alzheimer's Disease",Razadyne ER
Hyperparathyroidism Secondary to Renal Impairment,Calcifediol
"Diabetes, Type 2",Kazano
Sore Throat,Cepacol Dual Relief Sore Throat
"Hypogonadism, Male",Natesto
Asthma,Reslizumab
GERD,Tums Regular Strength
Progesterone Insufficiency,Crinone
CMV Prophylaxis,Valcyte
Cystic Fibrosis,Dornase alfa
Expectoration,Mucinex DM Maximum Strength
Pulmonary Hypertension,Macitentan
Seborrheic Dermatitis,Loprox
Varicose Veins,Polidocanol
Vitamin B12 Deficiency,Hydroxocobalamin
Sinus Symptoms,Alka-Seltzer Cold and Sinus
Liver Magnetic Resonance Imaging,Gadoxetate disodium
Eczema,Desonate
HIV Infection,Trizivir
Cough and Nasal Congestion,"Dimetapp Children's Cold & Cough"
Anxiety,Tranxene SD
,Regimex
"Gout, Acute",Fenoprofen
,Fluvastatin
Migraine Prevention,Nimodipine
Bacterial Vaginitis,Cleocin Ovules
Prevention of Thromboembolism in Atrial Fibrillation,Jantoven
Nasal Congestion,Sudafed 12-Hour
"Mycobacterium avium-intracellulare, Treatment",Ethambutol
Hepatitis B,Epivir-HBV
Cold Symptoms,Codeine / guaifenesin / pseudoephedrine
Nausea/Vomiting,Vitamin B6
"Glaucoma, Open Angle",Timoptic Ocudose
Seizure Prevention,Trokendi XR
Pain,Ibudone
Endometriosis,Nafarelin
"Hypogonadism, Male",Ovidrel
Birth Control,Dasetta 1 / 35
"Diabetes, Type 1",ReliOn / Novolin 70 / 30
Hepatitis C,Intron A
Acne,Ery Pads
High Blood Pressure,Uniretic
Hemorrhoids,Hydrocortisone / lidocaine
Tinea Cruris,Naftin
Eye Redness,Tetrahydrozoline
Dietary Supplementation,Vasculera
Hypoglycemia,Diazoxide
Acne,Benzoyl peroxide / salicylic acid
Back Pain,Xodol
Cold Sores,Retre-Gel
Dermatological Disorders,Carmol 20
Constipation,Fletchers Castoria
Nausea/Vomiting,Trimethobenzamide
Vitamin D Deficiency,Vitamin D2
"Onychomycosis, Toenail",Pedipirox-4
Vitamin/Mineral Supplementation during Pregnancy/Lactation,PR Natal 400
Adult Human Growth Hormone Deficiency,Saizen
"Conjunctivitis, Allergic",Alocril
Deep Vein Thrombosis,Innohep
Cough and Nasal Congestion,Coricidin HBP Cough & Cold
,Fluoridex
Osteoporosis,Actonel with Calcium
Urticaria,Aller-Ease
"Non-Hodgkin's Lymphoma",Treanda
Chronic Lymphocytic Leukemia,Fludarabine
Headache,BC Fast Pain Relief
Head Lice,Ulesfia
Multiple Myeloma,Carfilzomib
Hypocalcemia,Rocaltrol
Constipation,Senexon
"Glaucoma, Open Angle",Simbrinza
Sinus Symptoms,Naproxen / pseudoephedrine
Insomnia,Ethchlorvynol
"Constipation, Acute",Senna S
Anemia Associated with Chronic Renal Failure,Ferrlecit
Rosacea,Plexion Cleanser
Dermatological Disorders,Luxiq
Lymphoma,Dexasone
Renal Cell Carcinoma,Proleukin
Neutropenia Associated with Chemotherapy,Neupogen
Local Anesthesia,Sensorcaine-MPF
Cold Symptoms,Dextromethorphan / phenylephrine / pyrilamine
Pain,Medi-Quik Spray
Heart Attack,Streptokinase
Heart Failure,Hydralazine / isosorbide dinitrate
Sedation,Butisol Sodium
Hyperphosphatemia,PhosLo
Muscle Pain,Acetaminophen / caffeine / magnesium salicylate
Nausea/Vomiting,Peppermint
Systemic Mastocytosis,Midostaurin
Osteoporosis,Calcium / vitamin d
Osteoporosis,Calcium carbonate / risedronate
Pulmonary Hypertension,Riociguat
Alpha-1 Proteinase Inhibitor Deficiency,Zemaira
Allergic Rhinitis,Clemastine
Arrhythmia,Pacerone
CMV Prophylaxis,Valganciclovir
Urinary Tract Infection,Urised
Peripheral T-cell Lymphoma,Folotyn
Psoriasis,Amevive
Gas,Mylanta Gas
Period Pain,Midol Extended Relief
Allergic Rhinitis,Desloratadine / pseudoephedrine
Seborrheic Dermatitis,Extina
Weight Loss,Lomaira
"Diabetes, Type 2",Acarbose
Hemophilia A,Antihemophilic factor
"Asthma, Maintenance",Zileuton
Birth Control,Amethyst
High Blood Pressure,Midamor
Labor Induction,Oxytocin
Diabetic Macular Edema,Iluvien
Heart Failure,Mavik
High Blood Pressure,Aldomet
Dermatophytosis,Grifulvin V
Left Ventricular Dysfunction,Valsartan
ha,ha 
